,Unnamed: 0,comics,id,name
177,77,5,1010959,Proteus (Ultimate)
178,78,5,1009506,Proudstar
179,79,25,1009507,Prowler
180,80,0,1010961,Prowler (Rick Lawson)
181,81,11,1009511,Psycho-Man
182,82,404,1009512,Psylocke
183,83,4,1009510,PsyNapse
184,84,60,1009513,Puck
185,85,12,1010962,Puck (Zuzha Yu)
186,86,0,1010865,Puff Adder
187,87,0,1011165,pug
188,88,31,1009514,Puma
189,89,721,1009515,Punisher
190,90,6,1009517,Punisher (2099)
191,91,0,1017306,Punisher (Marvel: Avengers Alliance)
192,92,41,1009519,Puppet Master
193,93,13,1011207,Purifiers
194,94,25,1009520,Purple Man
195,95,52,1009522,Pyro
196,96,39,1014528,Quake (Daisy Johnson)
197,97,101,1009523,Quasar (Phyla-Vell)
198,98,37,1010778,Quasar (Wendell Vaughn)
199,99,10,1010334,Quasimodo
200,0,0,1011191,Queen Noir
201,1,48,1009387,Quentin Quire
202,2,372,1009524,Quicksilver
203,3,4,1010964,Quicksilver (Age of Apocalypse)
204,4,32,1010963,Quicksilver (Ultimate)
205,5,88,1009430,Rachel Grey
206,6,26,1009526,Radioactive Man
207,7,0,1011280,Rafael Vega
208,8,33,1010817,Rage
209,9,0,1009527,Raider
210,10,7,1009528,Randall
211,11,1,1011326,Randall Flagg
212,12,2,1010767,Random
213,13,0,1010838,Rattler
214,14,5,1011154,Ravenous
215,15,125,1010892,Rawhide Kid
216,16,35,1009531,Raza
217,17,18,1009532,Reaper
218,18,16,1009533,Reavers
219,19,2,1015000,Reavers (Ultimate)
220,20,0,1011249,Red 9
221,21,15,1009534,Red Ghost
222,22,0,1011238,Red Ghost (Ultimate)
223,23,99,1011360,Red Hulk
224,24,0,1017099,Red Hulk (HAS)
225,25,40,1011436,Red She-Hulk
226,26,2,1011155,Red Shift
227,27,179,1009535,Red Skull
228,28,0,1010965,Red Skull (Albert Malik)
229,29,24,1010837,Red Wolf
230,30,22,1011390,Redwing
231,31,50,1011376,Reptil
232,32,1,1011189,Retro Girl
233,33,1,1011330,Revanche
234,34,72,1009537,Rhino
235,35,12,1009702,Rhodey
236,36,0,1011401,Richard Fisk
237,37,183,1009379,Rick Jones
238,38,0,1015006,Rick Jones (Ultimate)
239,39,7,1011348,Ricochet
240,40,111,1009542,Rictor
241,41,11,1009543,Riptide
242,42,13,1009544,Risque
243,43,66,1009545,Robbie Robertson
244,44,0,1010792,Robert Baldwin 
245,45,0,1009235,Robin Chapel
246,46,88,1010744,Rocket Raccoon
247,47,0,1017314,Rocket Raccoon (Marvel Heroes)
248,48,1,1010769,Rocket Racer
249,49,26,1010692,Rockslide
250,50,616,1009546,Rogue
251,51,9,1010967,Rogue (Age of Apocalypse)
252,52,0,1017319,Rogue (Deadpool)
253,53,36,1010966,Rogue (Ultimate)
254,54,0,1017478,Rogue (X-Men: Battle of the Atom)
255,55,10,1010781,Roland Deschain
